epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.084,1.76841,3.23687,1.23757,0.00939,0.79399,0.02121,0.01105,1.32227,3.60092,1.00902,0.00062,0.00062,0.00062
2,421.07,1.43809,1.85616,1.06209,0.94053,0.12328,0.43024,0.26371,1.39545,2.9099,1.00127,0.00121842,0.00121842,0.00121842
3,626.181,1.41632,1.65851,1.03761,0.7559,0.56013,0.66762,0.33617,1.6845,2.1571,1.02633,0.0017746,0.0017746,0.0017746
4,830.267,1.42851,1.56063,1.03623,0.90134,0.76298,0.81653,0.47642,1.44707,1.51926,1.01365,0.001802,0.001802,0.001802
5,1033.38,1.42013,1.45763,1.00039,0.90851,0.81825,0.83881,0.50429,1.35733,1.29638,0.9712,0.001736,0.001736,0.001736
6,1235,1.3697,1.45001,1.05184,0.86485,0.78508,0.83764,0.53525,1.24039,1.36339,0.96861,0.00167,0.00167,0.00167
7,1432.47,1.31956,1.37763,1.00145,0.89369,0.82294,0.86571,0.5612,1.20541,1.2006,0.93929,0.001604,0.001604,0.001604
8,1632.16,1.28576,1.29467,0.98605,0.91279,0.82739,0.86811,0.5493,1.26306,1.14729,0.95319,0.001538,0.001538,0.001538
9,1819.75,1.30008,1.22725,0.98295,0.8891,0.83025,0.86385,0.4773,1.42878,1.20702,0.97096,0.001472,0.001472,0.001472
10,2007.74,1.21673,1.15683,0.9553,0.91124,0.8574,0.88661,0.53363,1.38893,1.10051,0.97576,0.001406,0.001406,0.001406
11,2200.81,1.25254,1.19774,0.9718,0.91219,0.86757,0.8914,0.50288,1.53114,1.07839,1.01685,0.00134,0.00134,0.00134
12,2391.19,1.17696,1.08037,0.95855,0.91634,0.85301,0.8907,0.53907,1.31033,1.03259,0.95999,0.001274,0.001274,0.001274
13,2585.47,1.1927,1.06489,0.96158,0.90246,0.85523,0.89181,0.60121,1.09669,0.93357,0.9298,0.001208,0.001208,0.001208
14,2773.67,1.15895,1.05335,0.93818,0.91528,0.8542,0.88153,0.61838,1.00667,0.9246,0.91728,0.001142,0.001142,0.001142
15,2961.77,1.14614,1.02492,0.94538,0.91121,0.85714,0.89142,0.56218,1.24606,0.94216,0.92304,0.001076,0.001076,0.001076
16,3150.69,1.13024,1.03271,0.96056,0.91339,0.86902,0.89184,0.6299,0.99654,0.87739,0.90089,0.00101,0.00101,0.00101
17,3342.21,1.0562,0.95842,0.93614,0.91981,0.87639,0.90729,0.64606,1.01147,0.88952,0.90614,0.000944,0.000944,0.000944
18,3530.14,1.06561,0.95101,0.91904,0.91565,0.88248,0.90788,0.6097,1.11626,0.86493,0.90863,0.000878,0.000878,0.000878
19,3722.8,1.0792,0.96183,0.95402,0.90623,0.86526,0.89897,0.61059,1.14219,0.83655,0.90648,0.000812,0.000812,0.000812
20,3912.16,1.03896,0.9213,0.9355,0.91781,0.87751,0.90713,0.64146,1.00026,0.80167,0.89622,0.000746,0.000746,0.000746
21,4097.58,1.03828,0.96101,0.91401,0.89563,0.87305,0.90481,0.624,1.08862,0.85457,0.91708,0.00068,0.00068,0.00068
22,4282.07,0.96429,0.92652,0.91143,0.9187,0.8809,0.9122,0.64838,0.99876,0.86488,0.90443,0.000614,0.000614,0.000614
23,4466.79,0.96117,0.91284,0.89969,0.91714,0.87517,0.91581,0.64402,1.0454,0.84971,0.90623,0.000548,0.000548,0.000548
24,4652.25,0.96629,0.86754,0.9084,0.91597,0.87398,0.91413,0.6261,1.1149,0.80485,0.90657,0.000482,0.000482,0.000482
25,4837.61,0.93774,0.82996,0.90302,0.91933,0.87569,0.90878,0.66121,0.95127,0.75529,0.88612,0.000416,0.000416,0.000416
26,5024.93,0.94594,0.85682,0.90028,0.9184,0.87735,0.9194,0.63334,1.09408,0.75814,0.90297,0.00035,0.00035,0.00035
27,5210.83,0.92195,0.80847,0.89294,0.91173,0.88085,0.92088,0.67497,0.94808,0.72753,0.88841,0.000284,0.000284,0.000284
28,5393.79,0.92946,0.80079,0.88406,0.91458,0.88226,0.9227,0.63765,1.06762,0.75094,0.89481,0.000218,0.000218,0.000218
29,5579.36,0.90086,0.77786,0.88909,0.91002,0.89198,0.92849,0.67525,0.93153,0.71928,0.8831,0.000152,0.000152,0.000152
30,5762.96,0.88504,0.79798,0.893,0.89913,0.89866,0.92926,0.67233,0.9476,0.7212,0.88373,8.6e-05,8.6e-05,8.6e-05
